numero_processo;classe;assuntos;municipio;data_ajuizamento;data_ajuizamento_hora;ultima_atualizacao;ultima_atualizacao_hora;formato;codigo;orgao_julgador
00003910320168160024;Ação Penal - Procedimento Sumaríssimo;Crimes contra o Meio Ambiente e o Patrimônio Genético;Rio Branco do Sul;21/01/2016;14:48:33;;;{'codigo': 1, 'nome': 'Eletrônico'};00003910320168160024;RIO BRANCO DO SUL - JUIZADO ESPECIAL CÍVEL, CRIMINAL E DA FAZENDA PÚBLICA
00006500620158160065;Ação Penal - Procedimento Sumaríssimo;Crimes contra o Meio Ambiente e o Patrimônio Genético;Cerro Azul;16/04/2015;13:31:11;;;{'codigo': 1, 'nome': 'Eletrônico'};00006500620158160065;CATANDUVAS - JUÍZO ÚNICO
00011319020208160065;Termo Circunstanciado;Crimes contra o Meio Ambiente e o Patrimônio Genético;Cerro Azul;06/05/2020;19:00:46;;;{'codigo': 1, 'nome': 'Eletrônico'};00011319020208160065;CATANDUVAS - JUÍZO ÚNICO
00033208620208160147;Termo Circunstanciado;Crimes contra o Meio Ambiente e o Patrimônio Genético;Rio Branco do Sul;10/12/2020;21:03:50;;;{'codigo': 1, 'nome': 'Eletrônico'};00033208620208160147;RIO BRANCO DO SUL - JUIZADO ESPECIAL CÍVEL, CRIMINAL E DA FAZENDA PÚBLICA
00007757720198160147;Termo Circunstanciado;Crimes contra o Meio Ambiente e o Patrimônio Genético;Rio Branco do Sul;17/03/2019;12:34:19;;;{'codigo': 1, 'nome': 'Eletrônico'};00007757720198160147;RIO BRANCO DO SUL - JUIZADO ESPECIAL CÍVEL, CRIMINAL E DA FAZENDA PÚBLICA
00016362920208160147;Carta Precatória Criminal;Crimes contra o Meio Ambiente e o Patrimônio Genético;Rio Branco do Sul;04/06/2020;17:51:48;;;{'codigo': 1, 'nome': 'Eletrônico'};00016362920208160147;RIO BRANCO DO SUL - JUIZADO ESPECIAL CÍVEL, CRIMINAL E DA FAZENDA PÚBLICA
00075387620208160174;Termo Circunstanciado;Crimes contra o Meio Ambiente e o Patrimônio Genético;Bocaiúva do Sul;06/11/2020;13:56:11;;;{'codigo': 1, 'nome': 'Eletrônico'};00075387620208160174;UNIÃO DA VITÓRIA - JUIZADO ESPECIAL CÍVEL, CRIMINAL E DA FAZENDA PÚBLICA
00016553520208160147;Ação Penal - Procedimento Sumaríssimo;Crimes contra o Meio Ambiente e o Patrimônio Genético;Rio Branco do Sul;08/06/2020;11:19:37;;;{'codigo': 1, 'nome': 'Eletrônico'};00016553520208160147;RIO BRANCO DO SUL - JUIZADO ESPECIAL CÍVEL, CRIMINAL E DA FAZENDA PÚBLICA
00020653020198160147;Ação Penal - Procedimento Sumaríssimo;Crimes contra o Meio Ambiente e o Patrimônio Genético;Rio Branco do Sul;15/07/2019;10:08:29;;;{'codigo': 1, 'nome': 'Eletrônico'};00020653020198160147;RIO BRANCO DO SUL - JUIZADO ESPECIAL CÍVEL, CRIMINAL E DA FAZENDA PÚBLICA
00032301520198160147;Termo Circunstanciado;Crimes contra o Meio Ambiente e o Patrimônio Genético;Rio Branco do Sul;21/10/2019;13:01:57;;;{'codigo': 1, 'nome': 'Eletrônico'};00032301520198160147;RIO BRANCO DO SUL - JUIZADO ESPECIAL CÍVEL, CRIMINAL E DA FAZENDA PÚBLICA
00016830320208160147;Termo Circunstanciado;Crimes contra o Meio Ambiente e o Patrimônio Genético;Rio Branco do Sul;10/06/2020;14:36:56;;;{'codigo': 1, 'nome': 'Eletrônico'};00016830320208160147;RIO BRANCO DO SUL - JUIZADO ESPECIAL CÍVEL, CRIMINAL E DA FAZENDA PÚBLICA
00006146720198160147;Termo Circunstanciado;Crimes contra o Meio Ambiente e o Patrimônio Genético;Rio Branco do Sul;01/03/2019;12:42:40;;;{'codigo': 1, 'nome': 'Eletrônico'};00006146720198160147;RIO BRANCO DO SUL - JUIZADO ESPECIAL CÍVEL, CRIMINAL E DA FAZENDA PÚBLICA
00031891420208160147;Termo Circunstanciado;Crimes contra o Meio Ambiente e o Patrimônio Genético;Rio Branco do Sul;29/11/2020;15:31:54;;;{'codigo': 1, 'nome': 'Eletrônico'};00031891420208160147;RIO BRANCO DO SUL - JUIZADO ESPECIAL CÍVEL, CRIMINAL E DA FAZENDA PÚBLICA
00033234120208160147;Termo Circunstanciado;Crimes contra o Meio Ambiente e o Patrimônio Genético;Rio Branco do Sul;10/12/2020;22:28:45;;;{'codigo': 1, 'nome': 'Eletrônico'};00033234120208160147;RIO BRANCO DO SUL - JUIZADO ESPECIAL CÍVEL, CRIMINAL E DA FAZENDA PÚBLICA
