DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2018/12/13 16:45:00,AQUA_M-T,Brasil,PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,7.0,0.3,0.4,-24.948,-49.568,34.1
2018/12/11 17:00:00,AQUA_M-T,Brasil,PARANÁ,ADRIANÓPOLIS,Mata Atlântica,3.0,5.6,0.3,-24.773,-48.546,11.7
2018/12/11 17:00:00,AQUA_M-T,Brasil,PARANÁ,ADRIANÓPOLIS,Mata Atlântica,3.0,5.5,0.3,-24.775,-48.556,8.0
2018/12/11 17:00:00,AQUA_M-T,Brasil,PARANÁ,CERRO AZUL,Mata Atlântica,4.0,0.4,0.4,-24.779,-49.145,12.5
2018/12/11 17:00:00,AQUA_M-T,Brasil,PARANÁ,ADRIANÓPOLIS,Mata Atlântica,7.0,0.9,0.4,-24.798,-48.866,28.4
2018/12/11 17:00:00,AQUA_M-T,Brasil,PARANÁ,ADRIANÓPOLIS,Mata Atlântica,6.0,0.9,0.4,-24.8,-48.876,12.9
2018/12/11 17:00:00,AQUA_M-T,Brasil,PARANÁ,BOCAIÚVA DO SUL,Mata Atlântica,4.0,1.2,0.4,-24.929,-48.612,17.8
2018/12/11 17:00:00,AQUA_M-T,Brasil,PARANÁ,BOCAIÚVA DO SUL,Mata Atlântica,4.0,1.3,0.4,-24.93,-48.622,26.3
2018/12/11 17:00:00,AQUA_M-T,Brasil,PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,4.0,0.1,0.7,-24.931,-49.464,57.2
2018/12/11 17:00:00,AQUA_M-T,Brasil,PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,4.0,0.1,0.4,-24.933,-49.475,29.4
2018/12/11 17:00:00,AQUA_M-T,Brasil,PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,5.0,0.0,0.5,-25.062,-49.471,9.8
2018/12/27 17:00:00,AQUA_M-T,Brasil,PARANÁ,ADRIANÓPOLIS,Mata Atlântica,2.0,3.3,0.0,-24.691,-49.124,8.7
2018/12/27 17:00:00,AQUA_M-T,Brasil,PARANÁ,ADRIANÓPOLIS,Mata Atlântica,2.0,1.0,0.0,-24.693,-48.736,15.6
2018/12/31 16:35:00,AQUA_M-T,Brasil,PARANÁ,ADRIANÓPOLIS,Mata Atlântica,4.0,0.0,0.1,-24.77,-48.542,48.9
2018/12/31 16:35:00,AQUA_M-T,Brasil,PARANÁ,ADRIANÓPOLIS,Mata Atlântica,4.0,0.0,0.2,-24.773,-48.566,21.1
2018/12/31 16:35:00,AQUA_M-T,Brasil,PARANÁ,ADRIANÓPOLIS,Mata Atlântica,4.0,0.0,0.2,-24.762,-48.549,42.6
2018/12/29 16:45:00,AQUA_M-T,Brasil,PARANÁ,CERRO AZUL,Mata Atlântica,2.0,0.0,0.4,-24.791,-49.304,17.9
2018/12/29 16:45:00,AQUA_M-T,Brasil,PARANÁ,CERRO AZUL,Mata Atlântica,2.0,0.0,0.2,-24.792,-49.319,20.3
2018/05/15 17:10:00,AQUA_M-T,Brasil,PARANÁ,BOCAIÚVA DO SUL,Mata Atlântica,21.0,0.4,0.6,-25.213,-49.011,6.3
2018/06/23 17:15:00,AQUA_M-T,Brasil,PARANÁ,BOCAIÚVA DO SUL,Mata Atlântica,8.0,0.0,0.3,-25.219,-49.124,9.0
2018/07/16 17:25:00,AQUA_M-T,Brasil,PARANÁ,ADRIANÓPOLIS,Mata Atlântica,16.0,0.0,0.6,-24.744,-48.976,7.6
2018/08/31 17:35:00,AQUA_M-T,Brasil,PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,6.0,0.0,0.2,-25.149,-49.321,67.2
2020/04/02 17:10:00,AQUA_M-T,Brasil,PARANÁ,CERRO AZUL,Mata Atlântica,12.0,2.63,1.0,-24.83,-49.215,16.8
2020/12/11 16:40:00,AQUA_M-T,Brasil,PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,0.0,3.5,0.2,-24.902,-49.433,30.5
2020/12/14 17:10:00,AQUA_M-T,Brasil,PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,1.0,4.5,0.0,-25.122,-49.128,8.6
2020/05/27 17:15:00,AQUA_M-T,Brasil,PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,4.0,0.0,0.13,-25.086,-49.276,13.1
2020/08/26 16:56:04,AQUA_M-T,Brasil,PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,5.0,0.0,0.01,-25.12,-49.429,27.0
2020/08/26 16:56:04,AQUA_M-T,Brasil,PARANÁ,ITAPERUÇU,Mata Atlântica,5.0,0.0,0.01,-25.122,-49.439,32.7
2020/09/09 17:10:00,AQUA_M-T,Brasil,PARANÁ,DOUTOR ULYSSES,Mata Atlântica,19.0,0.0,0.19,-24.631,-49.378,4.6
2020/02/17 17:40:00,AQUA_M-T,Brasil,PARANÁ,ADRIANÓPOLIS,Mata Atlântica,7.0,0.0,0.5,-24.75,-49.026,143.9
2020/12/25 16:50:00,AQUA_M-T,Brasil,PARANÁ,CERRO AZUL,Mata Atlântica,5.0,0.0,0.1,-24.809,-49.457,26.6
2020/12/25 16:50:00,AQUA_M-T,Brasil,PARANÁ,CERRO AZUL,Mata Atlântica,5.0,0.0,0.1,-24.807,-49.444,20.5
2020/04/25 17:15:00,AQUA_M-T,Brasil,PARANÁ,DOUTOR ULYSSES,Mata Atlântica,10.0,0.0,0.9,-24.688,-49.347,7.1
2020/06/19 17:25:00,AQUA_M-T,Brasil,PARANÁ,BOCAIÚVA DO SUL,Mata Atlântica,0.0,0.0,0.1,-25.257,-49.041,19.6
2020/06/21 17:10:00,AQUA_M-T,Brasil,PARANÁ,CERRO AZUL,Mata Atlântica,3.0,0.0,0.2,-24.959,-49.295,7.0
2020/07/13 16:35:00,AQUA_M-T,Brasil,PARANÁ,ITAPERUÇU,Mata Atlântica,3.0,0.0,0.1,-25.217,-49.384,85.5
